Collection,Collection_URL_NL,Collection_URL_EN,Concept,isPreferred,Stable_URL_English,Stable_Nederlands_URL
Text documents,https://dans.knaw.nl/nl/bestandsformaten/tekstdocumenten/,https://dans.knaw.nl/en/file-formats/text-documents/,PDF/A (.pdf),1,https://dans.knaw.nl/en/file-formats/text-documents/pdf-a/,https://dans.knaw.nl/bestandsformaten/tekstdocumenten/pdf-a/
Text documents,https://dans.knaw.nl/nl/bestandsformaten/tekstdocumenten/,https://dans.knaw.nl/en/file-formats/text-documents/,ODT (.odt),1,https://dans.knaw.nl/en/file-formats/text-documents/opendocument-text/,https://dans.knaw.nl/bestandsformaten/tekstdocumenten/opendocument-text-odt/
Text documents,https://dans.knaw.nl/nl/bestandsformaten/tekstdocumenten/,https://dans.knaw.nl/en/file-formats/text-documents/,Microsoft Word (.doc),0,https://dans.knaw.nl/en/file-formats/text-documents/microsoft-word-and-office-open-xml/,https://dans.knaw.nl/bestandsformaten/tekstdocumenten/microsoft-word-doc-en-office-open-xml-docx/
Text documents,https://dans.knaw.nl/nl/bestandsformaten/tekstdocumenten/,https://dans.knaw.nl/en/file-formats/text-documents/,Office Open XML (.docx),0,https://dans.knaw.nl/en/file-formats/text-documents/microsoft-word-and-office-open-xml/,https://dans.knaw.nl/bestandsformaten/tekstdocumenten/microsoft-word-doc-en-office-open-xml-docx/
Text documents,https://dans.knaw.nl/nl/bestandsformaten/tekstdocumenten/,https://dans.knaw.nl/en/file-formats/text-documents/,Rich Text File (.rtf),0,https://dans.knaw.nl/en/file-formats/text-documents/rich-text-file-rtf/,https://dans.knaw.nl/bestandsformaten/tekstdocumenten/rich-text-file-rtf/
Text documents,https://dans.knaw.nl/nl/bestandsformaten/tekstdocumenten/,https://dans.knaw.nl/en/file-formats/text-documents/,PDF other than PDF/A (.pdf),0,https://dans.knaw.nl/en/file-formats/text-documents/pdf-pdf/,https://dans.knaw.nl/bestandsformaten/tekstdocumenten/pdf-pdf/
Plain text,https://dans.knaw.nl/nl/bestandsformaten/platte-tekst/,https://dans.knaw.nl/en/file-formats/plain-text/,Unicode text (.txt),1,https://dans.knaw.nl/en/file-formats/plain-text/unicode/,https://dans.knaw.nl/bestandsformaten/platte-tekst/unicode/
Plain text,https://dans.knaw.nl/nl/bestandsformaten/platte-tekst/,https://dans.knaw.nl/en/file-formats/plain-text/,Non-Unicode text (.txt),0,https://dans.knaw.nl/en/file-formats/plain-text/non-unicode/,https://dans.knaw.nl/bestandsformaten/platte-tekst/non-unicode/
Markup language,https://dans.knaw.nl/bestandsformaten/opmaaktaal/,https://dans.knaw.nl/en/file-formats/markup-language/,XML (.xml),1,https://dans.knaw.nl/en/file-formats/markup-language/xml/,https://dans.knaw.nl/bestandsformaten/opmaaktaal/xml/
Markup language,https://dans.knaw.nl/bestandsformaten/opmaaktaal/,https://dans.knaw.nl/en/file-formats/markup-language/,HTML (.html),1,https://dans.knaw.nl/en/file-formats/markup-language/html/,https://dans.knaw.nl/bestandsformaten/opmaaktaal/html/
